model_name,experiment,episode_id,scene,evaluation_mode,sensor_profile,comparison_track,camera_horizontal_fov_degrees,model_inputs,model_runtime,derived_inputs,model_internal_3d_perception,external_local_avoidance,uses_shared_path_follower,uses_shared_velocity_filter,instruction,seed,pedestrian_count,success,navigation_error,spl,path_length,duration,physical_collision_count,pedestrian_collision_count,collision_rate,stuck_count,recovery_count,mean_inference_latency,p50_inference_latency,p95_inference_latency,max_inference_latency,mean_vlm_latency,mean_action_expert_latency,mean_control_frequency,minimum_control_frequency,direct_velocity,official_pedestrian_count,effective_pedestrian_count
ticvla,dynanav_full85_noped_20260828,dynanav_001,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the vending machine at front.,666,0,False,9.660000717,0.0,30.098940349447375,40.06,4,0,0.09985022466300549,0,0,1.0716501838069852,1.068743348121643,1.1123915672302247,1.3553828001022339,1.070719581539348,0.0009306021867383082,20.02299372504325,19.619292724273553,False,,
ticvla,dynanav_full85_noped_20260828,dynanav_002,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the front of the vending machine at front left.,666,10,True,1.499263543,1.0,12.029419355563535,33.159999999,0,0,0.0,0,0,1.031808258427514,1.0319880247116089,1.0588088274002074,1.072123408317566,1.03098015387853,0.0008280947804450989,20.031480497192618,19.727835175497702,False,,
ticvla,dynanav_full85_noped_20260828,dynanav_003,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the front of the vending machine at front left.,666,20,False,27.617292792,0.0,45.92662167383175,60.059999999,8,0,0.133200133202351,0,0,1.0310399448170382,1.0312895774841309,1.0666625261306761,1.0798277854919434,1.0302197912160087,0.0008201544981121141,20.016540025933022,19.83399776153967,False,,
ticvla,dynanav_full85_noped_20260828,dynanav_004,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the front of the vending machine at front left.,666,30,True,1.495037285,1.0,12.163546174566138,17.54,0,0,0.0,0,0,1.0294149617354076,1.0285437107086182,1.0604688227176666,1.077102541923523,1.0285866831739743,0.0008282836594541246,20.084310489720657,19.789265278537815,False,,
ticvla,dynanav_full85_noped_20260828,dynanav_005,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the front of the vending machine at front left.,666,40,False,30.337423088,0.0,50.143601487659026,80.16,175,0,2.1831337325349303,3,3,1.048892235237619,1.0472698211669922,1.0993706822395324,1.1494369506835938,1.0480591810267905,0.0008330546511823068,20.01354453680601,19.710733562609384,False,,
ticvla,dynanav_full85_noped_20260828,dynanav_006,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Walk straight down the hallway and stop at the red bed located to the right of the doors.,666,0,True,1.499722913,1.0,31.498627842893068,41.179999999,0,0,0.0,0,0,1.0468172256288857,1.0462514758110046,1.0888625919818877,1.0974655151367188,1.0459849330885658,0.0008323002377814003,20.032830812145402,19.66128635703091,False,,
ticvla,dynanav_full85_noped_20260828,dynanav_007,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Walk straight down the hallway and stop at the red bed located to the right of the doors.,666,10,True,1.494685498,1.0,31.846201498479147,42.260000000000005,0,0,0.0,0,0,1.0436737638408855,1.0443577766418457,1.0898481488227845,1.0917789936065674,1.0428557042348183,0.0008180667074018363,20.023017703504262,19.79604610307014,False,,
ticvla,dynanav_full85_noped_20260828,dynanav_008,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Walk straight down the hallway and stop at the red bed located to the right of the doors.,666,20,False,30.612739683,0.0,60.5617750787242,75.06,18,0,0.2398081534772182,0,0,1.0435442094490908,1.0411940813064575,1.0846109747886659,1.1129708290100098,1.042686987146039,0.00085721811536421,20.012653268437838,18.866277466821405,False,,
ticvla,dynanav_full85_noped_20260828,dynanav_009,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Walk straight down the hallway and stop at the red bed located to the right of the doors.,666,30,False,18.067377765,0.0,47.92062980412414,85.02,71,0,0.8350976240884498,4,4,1.0443027566287144,1.0443122386932373,1.0895248651504517,1.104809284210205,1.0434620754777892,0.000840685315899674,20.013181884019033,19.179674973528275,False,,
ticvla,dynanav_full85_noped_20260828,dynanav_010,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Walk straight down the hallway and stop at the red bed located to the right of the doors.,666,40,False,5.005028056,0.0,30.847712290744877,95.02,285,0,2.999368553988634,11,11,1.031998157069303,1.0381245613098145,1.0720387697219849,1.1019536256790161,1.0311668502247853,0.0008313094478343492,20.010200868679398,19.739646311791926,False,,
ticvla,dynanav_full85_noped_20260828,dynanav_011,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight past the wheelchairs and stop at the water dispenser by the window.,666,0,True,1.493127967,1.0,13.838349706662644,16.059999999,0,0,0.0,0,0,1.0620283755389126,1.0622504353523254,1.0991026639938355,1.10603666305542,1.0611978498372165,0.0008305365918204188,20.085683858836408,19.741647417168995,False,,
